Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Troy Merritt,89.0,62.0,2018,292.0,65.0,28.5,57.5,70.5,616,1.0,3.0,-0.0,0.2,-0.0,-0.0,-0.2,1326989.0
Andrew Landry,82.0,62.0,2018,287.0,65.0,28.5,56.5,71.0,"1,116",1.0,5.0,-0.2,-0.2,0.2,-0.2,-0.2,2642179.0
Hideki Matsuyama,75.0,62.0,2018,302.0,69.0,29.0,60.5,70.0,607,0.0,2.0,-0.0,1.0,-0.0,0.6,-0.0,2687477.0
Brandt Snedeker,84.0,62.0,2018,292.0,65.0,28.5,60.0,70.0,"1,077",1.0,4.0,0.4,0.6,-0.2,-0.2,0.2,2448970.0
Zac Blair,64.0,62.0,2018,277.0,66.0,28.5,61.0,71.0,176,0.0,None,0.2,0.2,-0.4,-0.0,0.2,330507.0
Danny Lee,88.0,62.0,2018,287.0,65.0,28.5,60.5,71.0,481,0.0,3.0,-0.0,0.0,-0.0,-0.2,-0.0,1269386.0
Charles Howell III,104.0,62.0,2018,297.0,69.0,29.5,60.5,70.0,885,0.0,4.0,0.2,0.8,0.2,-0.0,-0.0,2179725.0
Adam Scott,78.0,62.0,2018,302.0,70.0,30.0,54.5,70.0,623,0.0,2.0,-0.4,0.6,0.2,0.6,-0.0,2237641.0
Tom Hoge,101.0,62.0,2018,287.0,63.0,28.0,61.0,70.5,594,0.0,3.0,-0.2,0.0,-0.0,0.2,-0.2,1358542.0
Webb Simpson,95.0,62.0,2018,292.0,67.0,28.0,66.0,69.0,"1,710",1.0,7.0,0.6,1.4,-0.2,0.4,0.2,5376417.0
Chris Stroud,81.0,62.0,2018,287.0,62.0,28.5,59.5,71.5,255,0.0,None,-0.0,-0.4,-0.4,-0.2,-0.2,565466.0
Bryson DeChambeau,93.0,62.0,2018,302.0,69.0,29.0,59.5,69.5,"1,617",1.0,7.0,0.2,1.4,0.4,0.4,-0.0,8094489.0
Jonathan Randolph,71.0,62.0,2018,287.0,60.0,28.5,59.5,71.5,166,0.0,None,-0.0,-1.0,-0.4,-0.6,-0.2,453328.0
Rory Sabbatini,91.0,62.0,2018,292.0,67.0,29.0,61.0,70.5,521,0.0,None,-0.0,0.2,0.2,-0.2,0.2,1126057.0
Scott Brown,102.0,62.0,2018,292.0,65.0,29.0,54.5,71.0,422,0.0,2.0,-0.0,-0.8,-0.4,-0.4,-0.2,1076678.0
Tyrrell Hatton,58.0,59.0,2018,297.0,66.0,29.0,62.5,70.0,550,0.0,4.0,0.2,0.8,-0.0,0.2,0.2,1943360.0
Alex Noren,67.0,59.0,2018,297.0,64.0,28.5,61.5,69.5,989,0.0,3.0,0.6,1.0,0.2,-0.0,-0.2,2699150.0
Patrick Cantlay,87.0,59.0,2018,302.0,70.0,29.5,57.5,69.5,"1,388",1.0,6.0,-0.2,1.0,0.6,0.4,-0.0,3963962.0
Jordan Spieth,81.0,59.0,2018,297.0,70.0,29.0,61.5,69.5,945,0.0,5.0,-0.2,0.8,0.2,0.4,-0.0,2793536.0
J.T. Poston,73.0,59.0,2018,297.0,68.0,29.0,57.5,70.5,448,0.0,2.0,-0.0,0.0,0.2,-0.4,-0.2,940661.0
Kevin Chappell,77.0,59.0,2018,307.0,66.0,29.5,56.0,70.5,597,0.0,4.0,-0.4,0.2,0.6,0.2,-0.4,1608338.0
Shane Lowry,64.0,59.0,2018,297.0,68.0,30.0,53.0,70.5,296,0.0,None,-0.4,0.2,0.2,0.2,-0.2,696897.0
Patrick Rodgers,97.0,59.0,2018,302.0,65.0,29.0,57.0,70.5,541,0.0,3.0,0.4,0.2,-0.2,-0.4,-0.0,1287040.0
Whee Kim,93.0,59.0,2018,282.0,63.0,28.5,58.5,71.0,764,0.0,3.0,0.4,-0.6,-0.8,-0.0,-0.2,1920340.0
Nick Taylor,94.0,59.0,2018,292.0,67.0,29.0,61.5,71.0,420,0.0,2.0,-0.4,-0.4,-0.0,-0.0,-0.0,899373.0
Bud Cauley,55.0,59.0,2018,292.0,64.0,28.5,60.0,71.0,405,0.0,2.0,0.2,0.4,-0.2,-0.2,0.2,900591.0
Si Woo Kim,108.0,59.0,2018,287.0,63.0,29.0,57.0,71.0,893,0.0,5.0,-0.2,-0.2,-0.2,-0.2,0.2,2276114.0
Nate Lashley,51.0,59.0,2018,292.0,68.0,29.0,60.5,70.5,168,0.0,None,-0.0,0.2,-0.0,-0.0,-0.0,296650.0
Beau Hossler,104.0,59.0,2018,297.0,67.0,28.5,60.0,70.5,957,0.0,5.0,0.6,0.4,0.2,-0.4,-0.0,2449707.0
D.A. Points,63.0,59.0,2018,277.0,60.0,29.0,53.0,73.0,162,0.0,None,-0.0,-1.6,-1.2,-0.6,-0.0,377265.0
Brendan Steele,74.0,59.0,2018,307.0,69.0,30.0,52.5,71.0,998,1.0,3.0,-0.6,0.0,0.4,0.2,-0.2,2291128.0
Nicholas Lindheim,77.0,59.0,2018,292.0,68.0,29.0,53.5,71.0,272,0.0,None,0.2,-0.4,-0.4,-0.4,-0.2,593842.0
Andrew Putnam,97.0,59.0,2018,292.0,70.0,29.0,61.5,70.5,"1,026",1.0,5.0,-0.0,0.4,-0.2,0.2,-0.0,2387382.0
Jonas Blixt,67.0,59.0,2018,292.0,62.0,29.0,56.5,72.0,167,0.0,None,0.2,-0.6,-0.6,-0.6,-0.0,368518.0
Ethan Tracy,72.0,59.0,2018,297.0,64.0,29.0,54.5,72.0,157,0.0,None,-0.2,-1.0,-0.2,-0.6,-0.4,364493.0
Byeong Hun An,86.0,59.0,2018,307.0,67.0,29.0,61.0,70.0,913,0.0,4.0,-0.4,0.8,0.4,0.4,-0.0,2599264.0
Marc Leishman,93.0,59.0,2018,297.0,66.0,28.5,59.0,70.0,"1,148",0.0,6.0,-0.0,0.6,-0.2,0.2,0.2,3771221.0
Sam Saunders,80.0,59.0,2018,302.0,65.0,28.5,55.5,70.5,420,0.0,4.0,-0.0,0.2,0.2,-0.2,-0.2,981936.0
Anirban Lahiri,82.0,59.0,2018,292.0,64.0,28.5,58.0,70.5,555,0.0,4.0,-0.0,0.0,-0.0,-0.4,-0.0,1441205.0
Sean O'Hair,67.0,59.0,2018,302.0,63.0,28.5,57.5,71.0,417,0.0,2.0,-0.4,-0.4,0.2,-0.2,-0.2,1104865.0
Chesson Hadley,103.0,59.0,2018,297.0,67.0,28.5,56.5,70.0,"1,122",0.0,7.0,0.2,0.8,-0.0,0.6,-0.2,2768863.0
Mackenzie Hughes,80.0,59.0,2018,292.0,66.0,29.0,54.0,71.0,227,0.0,None,-0.2,-0.2,-0.2,0.2,-0.2,518476.0
William McGirt,84.0,59.0,2018,287.0,67.0,29.0,62.5,70.5,449,0.0,3.0,0.2,0.0,-0.4,-0.0,-0.0,933327.0
Xander Schauffele,96.0,59.0,2018,302.0,65.0,29.0,57.5,70.0,"1,081",0.0,5.0,-0.0,0.6,0.2,0.2,-0.2,4047538.0
Dustin Johnson,77.0,59.0,2018,312.0,70.0,28.0,62.5,None,"2,717",3.0,10.0,0.2,2.2,0.8,0.8,0.2,8457352.0
Matt Jones,70.0,59.0,2018,302.0,66.0,29.0,60.0,71.0,264,0.0,None,-0.2,0.0,0.2,-0.4,-0.0,538681.0
Tiger Woods,68.0,59.0,2018,302.0,67.0,28.0,64.0,69.0,"1,162",0.0,5.0,0.2,1.4,-0.0,0.8,0.2,5443841.0
Billy Hurley III,70.0,59.0,2018,282.0,63.0,29.0,54.5,71.5,73,0.0,None,-0.0,-0.8,-0.8,-0.2,-0.0,145725.0
Jon Rahm,71.0,59.0,2018,307.0,70.0,29.0,57.0,69.5,"1,430",1.0,5.0,-0.2,0.8,0.8,-0.0,-0.0,3992678.0
Ryan Palmer,69.0,59.0,2018,302.0,65.0,28.5,55.0,71.0,500,0.0,2.0,-0.6,-0.4,0.2,0.2,-0.2,1484445.0
Harold Varner III,91.0,59.0,2018,307.0,67.0,29.5,58.0,70.5,474,0.0,3.0,-0.2,0.0,0.2,-0.2,-0.0,1223064.0
Harris English,84.0,56.0,2018,302.0,63.0,28.5,57.5,71.0,383,0.0,2.0,0.2,-0.2,-0.4,-0.4,-0.0,799450.0
Greg Chalmers,56.0,56.0,2018,282.0,56.0,28.0,52.5,72.5,133,0.0,None,0.6,-1.4,-0.8,-1.2,-0.2,288023.0
Stephan Jaeger,81.0,56.0,2018,297.0,67.0,29.5,56.5,71.0,211,0.0,None,-0.2,-0.2,-0.0,-0.2,-0.0,422260.0
Jonathan Byrd,70.0,56.0,2018,287.0,68.0,29.5,58.0,71.0,147,0.0,None,-0.2,-0.4,-0.6,-0.0,0.2,267055.0
Keith Mitchell,99.0,56.0,2018,312.0,69.0,29.5,56.5,70.5,659,0.0,4.0,-0.6,-0.2,0.6,-0.2,-0.2,1641260.0
Martin Piller,79.0,56.0,2018,292.0,60.0,28.5,57.5,71.5,371,0.0,2.0,-0.0,-1.2,-0.4,-1.0,-0.2,847304.0
Justin Thomas,91.0,56.0,2018,307.0,68.0,28.0,62.0,69.0,"2,634",3.0,8.0,0.2,1.8,0.4,0.8,0.2,8694821.0
Brett Stegmaier,67.0,56.0,2018,292.0,70.0,29.0,56.0,71.0,149,0.0,None,0.4,0.0,-0.2,-0.0,-0.4,305607.0
Charley Hoffman,87.0,56.0,2018,297.0,66.0,29.0,56.0,70.5,515,0.0,None,-0.0,0.4,0.2,0.2,-0.2,1400637.0
Jason Day,75.0,56.0,2018,307.0,65.0,28.0,62.0,69.5,"1,771",2.0,5.0,0.6,1.2,-0.0,-0.2,0.4,5087461.0
Bubba Watson,90.0,56.0,2018,312.0,68.0,29.0,56.5,70.0,"1,879",3.0,5.0,-0.0,0.4,0.6,-0.0,-0.4,5793748.0
Jason Kokrak,99.0,56.0,2018,307.0,70.0,29.5,55.0,70.0,700,0.0,4.0,-0.0,0.4,0.2,0.2,-0.2,1794431.0
Jhonattan Vegas,92.0,56.0,2018,302.0,65.0,29.0,58.5,71.0,394,0.0,None,-0.2,0.0,0.2,-0.2,-0.2,1137444.0
Adam Schenk,86.0,56.0,2018,302.0,67.0,29.5,54.5,71.0,239,0.0,None,-0.0,-0.2,-0.0,-0.4,-0.2,474923.0
Stewart Cink,87.0,56.0,2018,297.0,68.0,29.5,55.5,70.0,758,0.0,3.0,-0.4,0.4,-0.0,0.6,-0.0,1887208.0
Matt Atkins,56.0,56.0,2018,297.0,63.0,29.0,57.5,72.0,44,0.0,None,-0.2,-1.2,-0.0,-1.2,-0.2,89104.0
Talor Gooch,78.0,56.0,2018,297.0,63.0,28.5,59.5,71.0,308,0.0,None,-0.0,-0.2,-0.4,-0.0,-0.0,654200.0
Bill Haas,76.0,56.0,2018,292.0,64.0,29.0,60.0,71.0,262,0.0,None,-0.2,0.0,-0.2,-0.2,0.2,638414.0
J.B. Holmes,77.0,56.0,2018,302.0,65.0,29.0,57.0,70.5,640,0.0,3.0,-0.4,0.4,0.4,-0.0,-0.0,1595942.0
Cameron Smith,85.0,56.0,2018,297.0,63.0,28.0,61.0,70.5,821,0.0,5.0,-0.0,0.2,-0.2,-0.0,0.2,3622607.0
Tyrone Van Aswegen,101.0,56.0,2018,287.0,65.0,28.5,58.0,71.0,364,0.0,None,-0.2,-0.4,-0.6,-0.2,-0.0,763584.0
Jamie Lovemark,92.0,56.0,2018,302.0,64.0,28.5,61.0,70.5,576,0.0,3.0,-0.0,0.2,-0.2,-0.2,0.4,1377286.0
Peter Malnati,87.0,56.0,2018,287.0,62.0,28.0,61.0,70.5,226,0.0,None,0.6,0.2,-0.4,-0.4,0.2,420001.0
Brooks Koepka,64.0,56.0,2018,312.0,68.0,28.5,63.0,69.0,"2,012",2.0,5.0,-0.0,1.2,0.6,0.2,-0.0,7094047.0
Sung Kang,89.0,56.0,2018,292.0,63.0,29.0,52.0,71.5,480,0.0,2.0,-0.4,-1.2,-0.6,-0.2,-0.4,1243309.0
Scott Stallings,96.0,56.0,2018,297.0,65.0,29.0,60.5,70.5,470,0.0,2.0,-0.2,0.2,-0.2,0.2,-0.2,1147573.0
Shawn Stefani,76.0,56.0,2018,297.0,67.0,29.0,58.0,71.0,268,0.0,None,-0.2,0.0,-0.2,0.2,-0.0,523204.0
Robert Garrigus,80.0,56.0,2018,307.0,65.0,29.0,56.5,71.0,353,0.0,None,-0.6,-0.4,0.2,0.2,-0.2,702030.0
Nick Watney,94.0,56.0,2018,307.0,67.0,29.0,55.5,70.5,491,0.0,None,0.2,0.2,-0.0,-0.0,-0.2,1402833.0
Rob Oppenheim,74.0,56.0,2018,282.0,64.0,28.5,59.5,71.5,148,0.0,None,-0.0,-0.6,-0.8,-0.0,-0.0,279019.0
Grayson Murray,72.0,56.0,2018,307.0,62.0,28.5,54.0,72.0,438,0.0,2.0,-0.4,-0.4,0.2,-0.4,-0.2,1056628.0
Rory McIlroy,64.0,53.0,2018,None,66.0,28.0,62.5,69.0,"1,154",1.0,5.0,-0.0,1.4,0.6,0.2,0.2,4410296.0
Dominic Bozzelli,65.0,53.0,2018,297.0,60.0,28.0,58.5,71.0,190,0.0,None,0.2,-0.2,-0.4,-0.4,-0.0,391634.0
Patton Kizzire,92.0,53.0,2018,297.0,69.0,29.5,55.0,70.5,"1,386",2.0,4.0,-0.0,-0.2,-0.4,0.2,-0.2,3541151.0
Matt Every,79.0,53.0,2018,292.0,64.0,29.0,52.5,72.0,113,0.0,None,-0.4,-1.2,-0.6,-0.2,-0.4,299162.0
Cody Gribble,71.0,53.0,2018,297.0,62.0,28.5,53.0,72.0,141,0.0,None,0.2,-1.0,-0.4,-0.8,-0.2,302593.0
Wesley Bryan,69.0,53.0,2018,277.0,61.0,28.0,60.0,71.5,219,0.0,None,0.2,-0.6,-1.6,0.2,0.4,498166.0
Lanto Griffin,80.0,53.0,2018,302.0,67.0,29.0,55.5,71.0,175,0.0,None,-0.2,-0.4,-0.2,-0.2,-0.2,358380.0
Retief Goosen,60.0,53.0,2018,292.0,61.0,29.0,56.5,71.0,261,0.0,None,-0.6,-0.6,-0.4,0.2,-0.2,545364.0
Seamus Power,86.0,53.0,2018,302.0,65.0,28.5,63.5,70.5,377,0.0,2.0,0.4,0.0,-0.0,-0.4,-0.2,791018.0
Charl Schwartzel,65.0,53.0,2018,297.0,61.0,28.5,57.5,71.0,528,0.0,3.0,-0.0,-0.2,-0.2,-0.2,-0.2,1710179.0
Patrick Reed,94.0,53.0,2018,297.0,63.0,28.0,62.5,70.0,"1,555",1.0,7.0,-0.0,0.8,-0.0,-0.0,0.4,5006267.0
Tony Finau,105.0,53.0,2018,312.0,70.0,29.0,57.0,69.5,"1,509",0.0,8.0,0.2,1.4,0.4,0.4,0.2,5620138.0
Trey Mullinax,75.0,53.0,2018,None,65.0,29.0,54.0,70.5,528,0.0,3.0,-0.0,-0.2,0.4,-0.6,-0.4,1184245.0
